date,home_team,score,away_team
02-10-2021,Vorskla Poltava,3 - 0,Inhulets
17-10-2021,Oleksandria,1 - 2,Vorskla Poltava
23-10-2021,Vorskla Poltava,0 - 2,Shakhtar Donetsk
01-11-2021,Vorskla Poltava,0 - 0,Chornomorets
06-11-2021,Dynamo Kyiv,1 - 2,Vorskla Poltava
21-11-2021,Vorskla Poltava,5 - 1,FC Mariupol
27-11-2021,Dnipro-1,5 - 1,Vorskla Poltava
04-12-2021,Rukh Vynnyky,0 - 0,Vorskla Poltava
11-12-2021,Lviv,1 - 1,Vorskla Poltava
25-07-2021,Zorya Luhansk,0 - 1,Oleksandria
02-08-2021,Inhulets,1 - 5,Zorya Luhansk
08-08-2021,Zorya Luhansk,1 - 2,Dynamo Kyiv
14-08-2021,Zorya Luhansk,1 - 1,Minai
22-08-2021,FC Mariupol,3 - 4,Zorya Luhansk
29-08-2021,Zorya Luhansk,1 - 0,Vorskla Poltava
11-09-2021,Rukh Vynnyky,1 - 1,Zorya Luhansk
19-09-2021,Zorya Luhansk,3 - 0,Chornomorets
26-09-2021,Dnipro-1,0 - 4,Zorya Luhansk
03-10-2021,Zorya Luhansk,2 - 0,Desna
15-10-2021,Shakhtar Donetsk,6 - 1,Zorya Luhansk
24-10-2021,Zorya Luhansk,1 - 0,Kolos Kovalivka
31-10-2021,Metalist 1925 Kharkiv,1 - 6,Zorya Luhansk
07-11-2021,Zorya Luhansk,3 - 0,Veres Rivne
20-11-2021,Lviv,2 - 1,Zorya Luhansk
29-11-2021,Oleksandria,0 - 1,Zorya Luhansk
05-12-2021,Zorya Luhansk,1 - 0,Inhulets
12-12-2021,Dynamo Kyiv,1 - 1,Zorya Luhansk
